catalog_id,tif,minxy,maxxy
105001000B95E100,3020010.tif,"(-95.44921875, 29.53125)","(-95.361328125, 29.619140625)"
105001000B95E100,3020222.tif,"(-95.625, 30.146484375)","(-95.537109375, 30.234375)"
105001000B95E100,3002213.tif,"(-95.361328125, 29.267578125)","(-95.2734375, 29.35546875)"
105001000B95E100,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
105001000B95E100,3002232.tif,"(-95.44921875, 29.443359375)","(-95.361328125, 29.53125)"
105001000B95E100,2131113.tif,"(-95.712890625, 29.619140625)","(-95.625, 29.70703125)"
105001000B95E100,3020030.tif,"(-95.44921875, 29.70703125)","(-95.361328125, 29.794921875)"
105001000B95E100,3020000.tif,"(-95.625, 29.53125)","(-95.537109375, 29.619140625)"
105001000B95E100,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
105001000B95E100,3020012.tif,"(-95.44921875, 29.619140625)","(-95.361328125, 29.70703125)"
105001000B95E100,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
105001000B95E100,3020031.tif,"(-95.361328125, 29.70703125)","(-95.2734375, 29.794921875)"
105001000B95E100,3020013.tif,"(-95.361328125, 29.619140625)","(-95.2734375, 29.70703125)"
105001000B95E100,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
105001000B95E100,3020211.tif,"(-95.361328125, 29.8828125)","(-95.2734375, 29.970703125)"
105001000B95E100,3020200.tif,"(-95.625, 29.8828125)","(-95.537109375, 29.970703125)"
105001000B95E100,3020202.tif,"(-95.625, 29.970703125)","(-95.537109375, 30.05859375)"
105001000B95E100,3020032.tif,"(-95.44921875, 29.794921875)","(-95.361328125, 29.8828125)"
105001000B95E100,2131333.tif,"(-95.712890625, 30.146484375)","(-95.625, 30.234375)"
105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)"
105001000B95E100,3002222.tif,"(-95.625, 29.443359375)","(-95.537109375, 29.53125)"
105001000B95E100,3002203.tif,"(-95.537109375, 29.267578125)","(-95.44921875, 29.35546875)"
105001000B95E100,3020231.tif,"(-95.361328125, 30.05859375)","(-95.2734375, 30.146484375)"
105001000B95E100,2131311.tif,"(-95.712890625, 29.8828125)","(-95.625, 29.970703125)"
105001000B95E100,3020210.tif,"(-95.44921875, 29.8828125)","(-95.361328125, 29.970703125)"
105001000B95E100,3002212.tif,"(-95.44921875, 29.267578125)","(-95.361328125, 29.35546875)"
105001000B95E100,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)"
105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)"
105001000B95E100,3002223.tif,"(-95.537109375, 29.443359375)","(-95.44921875, 29.53125)"
105001000B95E100,2131131.tif,"(-95.712890625, 29.70703125)","(-95.625, 29.794921875)"
105001000B95E100,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)"
105001000B95E100,3020232.tif,"(-95.44921875, 30.146484375)","(-95.361328125, 30.234375)"
105001000B95E100,2113313.tif,"(-95.712890625, 29.267578125)","(-95.625, 29.35546875)"
105001000B95E100,3002230.tif,"(-95.44921875, 29.35546875)","(-95.361328125, 29.443359375)"
105001000B95E100,3020033.tif,"(-95.361328125, 29.794921875)","(-95.2734375, 29.8828125)"
105001000B95E100,2131313.tif,"(-95.712890625, 29.970703125)","(-95.625, 30.05859375)"
105001000B95E100,3020002.tif,"(-95.625, 29.619140625)","(-95.537109375, 29.70703125)"
105001000B95E100,3020212.tif,"(-95.44921875, 29.970703125)","(-95.361328125, 30.05859375)"
105001000B95E100,3002202.tif,"(-95.625, 29.267578125)","(-95.537109375, 29.35546875)"
105001000B95E100,2113333.tif,"(-95.712890625, 29.443359375)","(-95.625, 29.53125)"
105001000B95E100,3020220.tif,"(-95.625, 30.05859375)","(-95.537109375, 30.146484375)"
105001000B95E100,3020201.tif,"(-95.537109375, 29.8828125)","(-95.44921875, 29.970703125)"
105001000B95E100,3020001.tif,"(-95.537109375, 29.53125)","(-95.44921875, 29.619140625)"
105001000B95E100,3020233.tif,"(-95.361328125, 30.146484375)","(-95.2734375, 30.234375)"
105001000B95E100,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)"
105001000B95E100,2131331.tif,"(-95.712890625, 30.05859375)","(-95.625, 30.146484375)"
105001000B95E100,2113331.tif,"(-95.712890625, 29.35546875)","(-95.625, 29.443359375)"
1020010067290D00,3021021.tif,"(-94.833984375, 29.70703125)","(-94.74609375, 29.794921875)"
1020010067290D00,3020112.tif,"(-95.09765625, 29.619140625)","(-95.009765625, 29.70703125)"
1020010067290D00,3002313.tif,"(-95.009765625, 29.267578125)","(-94.921875, 29.35546875)"
1020010067290D00,3021030.tif,"(-94.74609375, 29.70703125)","(-94.658203125, 29.794921875)"
1020010067290D00,3003212.tif,"(-94.74609375, 29.267578125)","(-94.658203125, 29.35546875)"
1020010067290D00,3003220.tif,"(-94.921875, 29.35546875)","(-94.833984375, 29.443359375)"
1020010067290D00,3003230.tif,"(-94.74609375, 29.35546875)","(-94.658203125, 29.443359375)"
1020010067290D00,3002133.tif,"(-95.009765625, 29.091796875)","(-94.921875, 29.1796875)"
1020010067290D00,3003222.tif,"(-94.921875, 29.443359375)","(-94.833984375, 29.53125)"
1020010067290D00,3020131.tif,"(-95.009765625, 29.70703125)","(-94.921875, 29.794921875)"
1020010067290D00,3003201.tif,"(-94.833984375, 29.1796875)","(-94.74609375, 29.267578125)"
1020010067290D00,3020110.tif,"(-95.09765625, 29.53125)","(-95.009765625, 29.619140625)"
1020010067290D00,3021002.tif,"(-94.921875, 29.619140625)","(-94.833984375, 29.70703125)"
1020010067290D00,3002131.tif,"(-95.009765625, 29.00390625)","(-94.921875, 29.091796875)"
1020010067290D00,3021012.tif,"(-94.74609375, 29.619140625)","(-94.658203125, 29.70703125)"
1020010067290D00,3021020.tif,"(-94.921875, 29.70703125)","(-94.833984375, 29.794921875)"
1020010067290D00,3002310.tif,"(-95.09765625, 29.1796875)","(-95.009765625, 29.267578125)"
1020010067290D00,3002332.tif,"(-95.09765625, 29.443359375)","(-95.009765625, 29.53125)"
1020010067290D00,3002333.tif,"(-95.009765625, 29.443359375)","(-94.921875, 29.53125)"
1020010067290D00,3003210.tif,"(-94.74609375, 29.1796875)","(-94.658203125, 29.267578125)"
1020010067290D00,3002331.tif,"(-95.009765625, 29.35546875)","(-94.921875, 29.443359375)"
1020010067290D00,3020111.tif,"(-95.009765625, 29.53125)","(-94.921875, 29.619140625)"
1020010067290D00,3003221.tif,"(-94.833984375, 29.35546875)","(-94.74609375, 29.443359375)"
1020010067290D00,3003021.tif,"(-94.833984375, 29.00390625)","(-94.74609375, 29.091796875)"
1020010067290D00,3002330.tif,"(-95.09765625, 29.35546875)","(-95.009765625, 29.443359375)"
1020010067290D00,3003032.tif,"(-94.74609375, 29.091796875)","(-94.658203125, 29.1796875)"
1020010067290D00,3002312.tif,"(-95.09765625, 29.267578125)","(-95.009765625, 29.35546875)"
1020010067290D00,3003232.tif,"(-94.74609375, 29.443359375)","(-94.658203125, 29.53125)"
1020010067290D00,3020113.tif,"(-95.009765625, 29.619140625)","(-94.921875, 29.70703125)"
1020010067290D00,3002311.tif,"(-95.009765625, 29.1796875)","(-94.921875, 29.267578125)"
1020010067290D00,3003030.tif,"(-94.74609375, 29.00390625)","(-94.658203125, 29.091796875)"
1020010067290D00,3003203.tif,"(-94.833984375, 29.267578125)","(-94.74609375, 29.35546875)"
1020010067290D00,3021010.tif,"(-94.74609375, 29.53125)","(-94.658203125, 29.619140625)"
1020010067290D00,3002130.tif,"(-95.09765625, 29.00390625)","(-95.009765625, 29.091796875)"
1020010067290D00,3021003.tif,"(-94.833984375, 29.619140625)","(-94.74609375, 29.70703125)"
1020010067290D00,3003022.tif,"(-94.921875, 29.091796875)","(-94.833984375, 29.1796875)"
1020010067290D00,3020130.tif,"(-95.09765625, 29.70703125)","(-95.009765625, 29.794921875)"
1020010067290D00,3021000.tif,"(-94.921875, 29.53125)","(-94.833984375, 29.619140625)"
1020010067290D00,3003223.tif,"(-94.833984375, 29.443359375)","(-94.74609375, 29.53125)"
1020010067290D00,3021001.tif,"(-94.833984375, 29.53125)","(-94.74609375, 29.619140625)"
1020010067290D00,3002132.tif,"(-95.09765625, 29.091796875)","(-95.009765625, 29.1796875)"
1020010067290D00,3003202.tif,"(-94.921875, 29.267578125)","(-94.833984375, 29.35546875)"
1020010067290D00,3003023.tif,"(-94.833984375, 29.091796875)","(-94.74609375, 29.1796875)"
1020010067290D00,3003020.tif,"(-94.921875, 29.00390625)","(-94.833984375, 29.091796875)"
1020010067290D00,3003200.tif,"(-94.921875, 29.1796875)","(-94.833984375, 29.267578125)"
105001000B920A00,3020230.tif,"(-95.44921875, 30.05859375)","(-95.361328125, 30.146484375)"
105001000B920A00,3020213.tif,"(-95.361328125, 29.970703125)","(-95.2734375, 30.05859375)"
105001000B920A00,3020223.tif,"(-95.537109375, 30.146484375)","(-95.44921875, 30.234375)"
105001000B920A00,3020010.tif,"(-95.44921875, 29.53125)","(-95.361328125, 29.619140625)"
105001000B920A00,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
105001000B920A00,3020030.tif,"(-95.44921875, 29.70703125)","(-95.361328125, 29.794921875)"
105001000B920A00,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
